name,vocation,level,exp
Liquidaim,Elder Druid,423,"1,245,283,939"
Azena Theking,Royal Paladin,385,"939,633,754"
Swiezak Rozrabiaka,Master Sorcerer,372,"848,363,846"
Druid Tely,Elder Druid,369,"824,977,759"
Druidek Lavande,Elder Druid,307,"473,496,254"
Dunder drullee,Elder Druid,367,"814,466,826"
Khati,Elder Druid,307,"473,015,810"
Cira Raliana,Royal Paladin,362,"783,282,143"
King Mouse,Elder Druid,305,"463,941,702"
Lux Anima,Elder Druid,359,"762,215,482"
Odin Ragnarson,Sorcerer,296,"424,724,095"
Zwykly Bloker,Elite Knight,359,"760,754,530"
Okiski Periski,Master Sorcerer,295,"421,213,357"
Avalanche Burmistrz Lizardow,Master Sorcerer,357,"750,940,304"
Devi Swiebodzin,Elder Druid,287,"385,873,039"
Grekisk Yxhuggare,Elite Knight,351,"713,185,901"
Kpux Cutiee,Master Sorcerer,286,"385,803,022"
Beejito,Master Sorcerer,256,"276,157,632"
Halruul,Elite Knight,348,"691,160,855"
Hori Sheet,Master Sorcerer,285,"381,755,988"
Tunki,Elite Knight,254,"267,738,335"
Lux Asnorcz,Master Sorcerer,346,"679,212,082"
Devi Dithsu,Elite Knight,283,"372,375,024"
Bury Yo,Royal Paladin,253,"265,917,436"
Zwykly Przystojniak,Elder Druid,344,"669,515,556"
Pani Smrodekz,Royal Paladin,282,"369,019,766"
Donabal,Elder Druid,251,"257,350,522"
Winstoned,Elite Knight,343,"663,711,900"
Magnus Nestron,Elder Druid,235,"212,722,393"
Shidame,Master Sorcerer,280,"361,956,458"
Macko Degustatorre,Elite Knight,250,"257,006,112"
Lux Arte,Elite Knight,343,"662,354,771"
Relfeks Chudego Byka,Elite Knight,235,"211,455,764"
Maria la bendita,Royal Paladin,279,"356,193,096"
Martyren,Master Sorcerer,250,"256,227,701"
Chowdead,Master Sorcerer,342,"659,910,049"
Lucznik Akio,Royal Paladin,235,"211,216,853"
Ten Przemo,Elite Knight,276,"345,459,925"
Mojzesz Uleczyciel,Elder Druid,249,"253,792,349"
Szekkus,Royal Paladin,338,"637,257,130"
Pripps Lager,Elite Knight,234,"210,604,440"
Big Large Huge,Royal Paladin,276,"345,091,514"
Zoxir,Elder Druid,220,"172,696,666"
Jan Wojcikiewicz,Royal Paladin,249,"252,481,609"
Giorgio Baldi,Royal Paladin,337,"630,763,472"
Thus Stos,Elite Knight,234,"209,474,849"
Devi Disco,Elder Druid,276,"343,802,512"
Penereczek,Master Sorcerer,219,"171,647,641"
Xavier Wolf,Elite Knight,248,"250,435,213"
Dunder Brolle,Master Sorcerer,334,"614,486,875"
Bleffing,Elite Knight,233,"207,885,286"
Devi Cent,Royal Paladin,274,"336,082,473"
Scarappe,Elder Druid,219,"170,348,011"
Ten Masny,Master Sorcerer,245,"240,973,996"
Zwykly Shooter,Royal Paladin,327,"575,729,779"
Riosyz,Master Sorcerer,232,"204,592,924"
Devi Pyszny,Royal Paladin,273,"335,022,322"
Wariaciku,Elder Druid,218,"170,254,746"
Bloffing,Elder Druid,245,"240,490,000"
Dearcher,Royal Paladin,206,"141,878,437"
Theking Azena,Master Sorcerer,325,"562,189,376"
Swiezak Niszczyciel,Master Sorcerer,232,"204,361,638"
Afkey,Elite Knight,267,"311,880,773"
Deadhuman Shira,Sorcerer,218,"170,053,007"
Aimgutvro,Elder Druid,244,"239,152,518"
Eczor,Elite Knight,206,"141,574,978"
Spasmen,Elder Druid,318,"529,622,938"
Anede,Elite Knight,231,"201,176,941"
Crowny Cro,Royal Paladin,265,"305,132,374"
Nottooday,Elder Druid,218,"170,021,297"
Devi Woytt,Master Sorcerer,243,"235,244,981"
Nee Bu,Master Sorcerer,205,"141,404,219"
Zwykly Furiat,Master Sorcerer,317,"524,669,282"
Nebsenre,Master Sorcerer,230,"199,643,171"
Cereyon,Elder Druid,263,"297,607,660"
Eiksem,Elder Druid,195,"121,275,637"
Sioher Enfo,Master Sorcerer,216,"163,970,757"
Vansal,Master Sorcerer,243,"235,153,034"
Aefkey,Royal Paladin,204,"138,910,081"
Maitotoxin,Elite Knight,311,"492,182,037"
Selggon,Elite Knight,230,"198,566,449"
Holy Kavi,Elite Knight,262,"292,996,397"
Sanostrix,Master Sorcerer,195,"120,377,166"
Camorio,Master Sorcerer,215,"163,302,431"
Sentoria,Elder Druid,243,"234,332,752"
Rip foreo,Royal Paladin,204,"138,158,333"
Apries,Elite Knight,308,"477,583,390"
Puffin,Master Sorcerer,230,"198,028,155"
Blomberg,Elder Druid,261,"292,759,916"
Bende knajtem,Elite Knight,195,"120,306,898"
Zwykly Kapral Nobbs,Royal Paladin,215,"162,875,848"
Burboon,Master Sorcerer,242,"232,850,202"
Ganosio,Elder Druid,203,"136,648,517"
Lucky Yami,Master Sorcerer,227,"191,337,863"
Arems,Elder Druid,261,"291,451,497"
Raczenoo,Elder Druid,194,"119,700,943"
Phensty,Elite Knight,185,"102,994,929"
Polonnista,Master Sorcerer,215,"161,835,322"
Bizi Here,Master Sorcerer,242,"231,809,209"
Rzeznik,Royal Paladin,203,"136,501,831"
Peppzzor,Elder Druid,227,"190,730,154"
Unius Tomiss,Master Sorcerer,260,"288,279,339"
Erik Archer,Royal Paladin,194,"119,382,489"
Devi Rakieta,Elite Knight,185,"102,369,095"
Eight Inner Gates,Elite Knight,214,"159,660,598"
Devi Chan,Elite Knight,241,"228,748,676"
Special Dave,Elder Druid,203,"136,456,290"
Devi Antonov,Master Sorcerer,224,"184,506,754"
Ksiedzowa Jiza,Royal Paladin,259,"283,973,677"
Cieply Michal,Master Sorcerer,194,"119,268,042"
Adam Dayne,Elder Druid,184,"102,091,459"
